 ID,SHA256,APT-group,Country,attack_sequence
1195,0d9b14ee7ece5b54a6fb0a0de9af9e556d6364a9f84e78a6b120fd96957a16ee,APT10,China,"['T1086', 'T1027', 'T1059', 'T1071']"
1196,74eafbcfa04c25c916f93ca936a09d1945d893b116941a4061efe5f3b10e0b80,APT10,China,"['T1071', 'T1086', 'T1059', 'T1027']"
1198,f10cb0001c5c538a3c37b7ef695502d8be4984992747ad94b2bf3a55ba0122a7,APT10,China,"['T1071', 'T1059', 'T1086']"
1199,737d2fbf51c72f4642056bbb0bee8e04259ee1a0cc4174549cfae11faac7e6f8,APT10,China,"['T1059', 'T1071', 'T1027', 'T1086']"
1200,5d731406a57beb742a69105397a9db85f5cfccf38a2cb939e45d0e0309281d5b,APT10,China,"['T1027', 'T1086', 'T1059', 'T1071']"
1201,8a78041b2bd5f4fdf37631e00e1c77b592a1e363ab18d99908989a7501b0b80a,APT10,China,"['T1071', 'T1059', 'T1086', 'T1027']"
1202,2ddcb1dc466e22388485118bcf3089014348881c4d315aca452c6bb44b6c7bee,APT10,China,"['T1059', 'T1086', 'T1071', 'T1027']"
1203,c49fc7a15f79164bf20f31e7701996ba02390bad45a83c01be354e8d54c772a7,APT10,China,"['T1027', 'T1071', 'T1059']"
1205,af69d72895047e20e11c53d0e79acb80e172aa4f50d81d3b3f1fe69a360e57a1,APT10,China,"['T1086', 'T1027', 'T1059']"
1206,a90aa4a2fcd2992442bedd1fb093241b5cb841a903fcee5dddbd6e5f85923bd3,APT10,China,"['T1027', 'T1071', 'T1086']"
1207,ac36922d6758c8ec05c8834652de4922ae677f1025cdb2d6fe747ea4738174ac,APT10,China,"['T1086', 'T1071', 'T1059', 'T1027']"
1208,73794263b657632805c8c3907e2f20a9743d8c9b83aa3e21629eccc5de02b1ca,APT10,China,"['T1071', 'T1059', 'T1027', 'T1086']"
1209,590d5e0858893951e22e392a7dad76b30765c8fd139ca288efeead9b86836237,APT10,China,"['T1071', 'T1059', 'T1027', 'T1086']"
1210,c440d70db9e1190500bdde5b1613fd4f7014131a95032868836203d68ba187ed,APT10,China,"['T1059', 'T1027', 'T1071', 'T1086']"
1211,1fbff7f86bb1bed28a7c25553ad525bbdc14ea8a77620d53d87160eaa8f4607d,APT10,China,"['T1027', 'T1059', 'T1086', 'T1071']"
1212,cb0966893437f5c00180202c2061b6532a8d8487dc2c69bc8b297ea08d2ed180,APT10,China,"['T1071', 'T1027', 'T1086', 'T1059']"
1214,fd6a956a7708708cddff78c8505c7db73d7c4e961da8a3c00cc5a51171a92b7b,APT10,China,"['T1059', 'T1086', 'T1027', 'T1071']"
1215,c92446e73e190b1361df27937219196723f1cbdcc24a5f4f5856bca9fe788aaa,APT10,China,"['T1027', 'T1071', 'T1059']"
1216,3dae326b5ff9f9c075c2d42347042fbb237dec697a729f432ba87e215f4dc8cf,APT10,China,"['T1027', 'T1059', 'T1071']"
1217,b59977676c75d6eac63807202935f165b43583600aed80e44cc1fa9e9b0084b5,APT10,China,"['T1059', 'T1071', 'T1086', 'T1027']"
1218,5262cb9791df50fafcb2fbd5f93226050b51efe400c2924eecba97b7ce437481,APT10,China,"['T1071', 'T1027', 'T1059', 'T1086']"
1219,21bc328ed8ae81151e7537c27c0d6df6d47ba8909aebd61333e32155d01f3b11,APT10,China,"['T1086', 'T1071', 'T1059', 'T1027']"
1220,c4eaadd10deb0a500bb693480507367b492564079a1548963da4639c0bf861bd,APT10,China,"['T1027', 'T1059', 'T1071', 'T1086']"
1223,5b4028728d8011a2003b7ce6b9ec663dd6a60b7adcc20e2125da318e2d9e13f4,APT10,China,"['T1059', 'T1086', 'T1071', 'T1027']"
1227,e7a60eec1f66ac089f13f9478dcf06b922bfe4b4f3a4fbbbf054e3202e58519a,APT10,China,"['T1086', 'T1071', 'T1027']"
1228,5c7efef3d8e3c13913f261425fb503df05d6246362c88c25ce2d41622fd58aef,APT10,China,"['T1071', 'T1086', 'T1027', 'T1059']"
1229,3f908cdc830a589b02ed6eaccd20a371fb2e9ea85ec300aca0e9f76705da8ac7,APT10,China,"['T1059', 'T1027', 'T1071']"
1230,f9749ed767717a707a9690f915ab9bdf25038eb63eb890e45d772057b32602a7,APT10,China,"['T1027', 'T1059', 'T1086']"
1231,6605b27e95f5c3c8012e4a75d1861786fb749b9a712a5f4871adbad81addb59e,APT10,China,"['T1027', 'T1059', 'T1086']"
1232,2c71eb5c781daa43047fa6e3d85d51a061aa1dfa41feb338e0d4139a6dfd6910,APT10,China,"['T1059', 'T1027', 'T1071', 'T1086']"
1233,37b2ec1ef108536132a493ac21bda5557f6f2b3e5dbf4a0779d43af66884737a,APT10,China,"['T1059', 'T1027', 'T1086', 'T1071']"
1234,c885a4f5c066b00e9d4de8cc0f5463f27ce49869519db8cfdc7a9ae19cdce4f0,APT10,China,"['T1059', 'T1027', 'T1071', 'T1086']"
1235,a1b80abf76fe66c4a98d8f5e091ef5cab00ebbddf2aac9e1351d1c040568a0e7,APT10,China,"['T1071', 'T1086', 'T1027']"
1236,3a7f2746838d785a45a9fd3b02829f7f5dd3d0ec122d6be69fd1ba7225454910,APT10,China,"['T1071', 'T1059', 'T1027']"
1238,8a0bcbbad2f1b0efc72069e16f23ac1314ca0df252647f99429dcb428506337c,APT10,China,"['T1027', 'T1071', 'T1086']"
1239,7186b669182e1a690044375cff136682cbef09f481ee6f5d4d0fd2f043e68480,APT10,China,"['T1086', 'T1059', 'T1027']"
1240,a8b051ca135619cc685598451e655256230459ba212a944f315db5e5252d3d1d,APT10,China,"['T1027', 'T1071', 'T1086']"
1241,133a6da1230b2842655f511c2d6a498bdcd6e531277754655fe992456bec3b71,APT10,China,"['T1027', 'T1071', 'T1086']"
1242,bc2f07066c624663b0a6f71cb965009d4d9b480213de51809cdc454ca55f1a91,APT10,China,"['T1027', 'T1071', 'T1059', 'T1086']"
1243,af5182946b0a6bc0b457a048c133d5b23fa4ab2411f7833f0c5513a5994fc5f0,APT10,China,"['T1059', 'T1086', 'T1071', 'T1027']"
1244,f09a3b82775cc0a87d775cb22483064ad5e3abb77929073a18220b2e62d2d142,APT10,China,"['T1086', 'T1027', 'T1071']"
1245,12dc5c7b9c08f0654f31c274ba84c39af5ab8514b762a07b7b48439323f85bcd,APT10,China,"['T1071', 'T1086', 'T1059']"
1246,312dc69dd6ea16842d6e58cd7fd98ba4d28eefeb4fd4c4d198fac4eee76f93c3,APT10,China,"['T1071', 'T1086', 'T1027', 'T1059']"
1247,6c7e85e426999579dd6a540fcd827b644a79cda0ad50211d585a0be513571586,APT10,China,"['T1071', 'T1027', 'T1086']"
1248,d24c963fc7b589fd3f60f60ee03c2d76a14960ae80d91b8c357e763b9172e9cc,APT10,China,"['T1071', 'T1086', 'T1027', 'T1059']"
1249,bc1c02ee6e4d533847e586205284c7cc4d69909b2bd9c6781c92c766384405f2,APT10,China,"['T1071', 'T1027', 'T1086']"
1250,3ccd3ae38824b0b4794d0fbe6a1d50e5340ae060ef748246705efb24cad5e314,APT10,China,"['T1071', 'T1059', 'T1086']"
1252,e5f0a52ca24ca56f8e30da29cebd0bc0030c3a0f1c2ac54bcb1a09fe001b80aa,APT10,China,"['T1071', 'T1086', 'T1027']"
1253,3b94208d45c10b09126494e8d9bd2a3460f58678b2e096d315ec33eb84436038,APT10,China,"['T1027', 'T1071', 'T1059', 'T1086']"
1254,df989174c79870ca196b22e8dda6a43f2950c6cc72ab4d6faa4dadc5abedbebe,APT10,China,"['T1059', 'T1071', 'T1027', 'T1086']"
1255,5cebc133ae3b6afee27beb7d3cdb5f3d675c3f12b7204531f453e99acdaa87b1,APT10,China,"['T1059', 'T1071', 'T1086']"
1257,27876dc5e6f746ff6003450eeea5e98de5d96cbcba9e4694dad94ca3e9fb1ddc,APT10,China,"['T1059', 'T1086', 'T1071', 'T1027']"
1258,96a204e8533f829b32b1c6da03578e5275b613d7fa2bde9dcfdd669f71df4eed,APT10,China,"['T1086', 'T1071', 'T1059', 'T1027']"
1259,976aa2d1645c191ea44b9452dca9c8cf670ce45bfd014f0dcad4ae58eb37a501,APT10,China,"['T1059', 'T1086', 'T1071', 'T1027']"
1260,33a3243659c05ada3a42c846e0af049a8fda6c0d1687d8100e33ab38e2cc90f6,APT10,China,"['T1027', 'T1071', 'T1059', 'T1086']"
1261,f5e444469407a3e894d368b79878a149696015ed2f666dddb49bd484f144d104,APT10,China,"['T1059', 'T1071', 'T1027']"
1262,2e933b9823f15038eaf786f0898df03508a17ace8620a404edf5229aea0b9f18,APT10,China,"['T1059', 'T1071', 'T1027', 'T1086']"
1263,fadf362a52dcf884f0d41ce3df9eaa9bb30227afda50c0e0657c096baff501f0,APT10,China,"['T1059', 'T1027', 'T1086']"
1264,cb0c8681a407a76f8c0fd2512197aafad8120aa62e5c871c29d1fd2a102bc628,APT10,China,"['T1071', 'T1027', 'T1059']"
1265,1035c2969d645fc7d13480c1d38b61816a6c7d7a2d46e34f87003d43a236a435,APT10,China,"['T1059', 'T1071', 'T1086', 'T1027']"
1266,f6ad1a62033f3749aafd97dd4f345a47dddffd3465a7d8b3f1c838427c25aab6,APT10,China,"['T1059', 'T1086', 'T1027']"
1269,bec6fd77ae63e20f319279adcbcb3585055a85496923d3aa7e5ccfaf40fdfe9a,APT10,China,"['T1086', 'T1071', 'T1059', 'T1027']"
1270,5a8e92ae2ee4ce1493dbb56cceb13fdae1c0d46f3e6b0bb535412bd2a9e77f10,APT10,China,"['T1059', 'T1027', 'T1071']"
1271,646194791590993c21a49e16465c245094e288c077d1e279258c3d22de0febf8,APT10,China,"['T1027', 'T1071', 'T1059', 'T1086']"
1272,6f992d2e6a805dc04ea01262328f4e34de31322be3cad3de944c0bdbd1d7deff,APT10,China,"['T1071', 'T1059', 'T1027', 'T1086']"
1274,66e677b081e0361020cda4f218a501497faad1f6c0897f26c25ca51c4a5dad40,APT10,China,"['T1059', 'T1027', 'T1086']"
1275,53c73973d20bd7b826697ba2548de7003adbb1708403f0c7e7861c95d94433ad,APT10,China,"['T1071', 'T1086', 'T1059', 'T1027']"
1276,da01734bacb716ac303f3018d3c4cf7fdc0784d157bb99976bd3d5a51381d34e,APT10,China,"['T1059', 'T1071', 'T1086', 'T1027']"
1278,c5e9df74abe15f2751681117fd7efbce03f93157a3ccc314d51da9060dab3790,APT10,China,"['T1086', 'T1027', 'T1059', 'T1071']"
1280,888089a489ffd2768169dfca7bccb9379741efa32a75580b912e6328b3b2e8db,APT10,China,"['T1059', 'T1071', 'T1086', 'T1027']"
1281,13ea0b029b797ca222d54f81a22623719bc440a89cdd8108611ab2354152297c,APT10,China,"['T1086', 'T1071', 'T1059']"
1283,b4bd76150a5011a8ee517f8cb22b373404305648334ccfb195e5fb8939538e2e,APT10,China,"['T1027', 'T1086', 'T1059']"
1285,dcff19fc193f1ba63c5dc6f91f00070e6912dcec3868e889fed37102698b554b,APT10,China,"['T1071', 'T1086', 'T1059', 'T1027']"
1287,d0e526a19497117a854f1ac9a9347f7621709afc3548c2e6a46b19e833578eac,APT10,China,"['T1059', 'T1027', 'T1071']"
1289,d0344d530a732b51b6a71c5b7aa3f86f16f434ef31074d6aa5803bfbc571b6d7,APT10,China,"['T1027', 'T1059', 'T1071']"
1290,c9d5dc956841e000bfd8762e2f0b48b66c79b79500e894b4efa7fb9ba17e4e9e,APT10,China,"['T1071', 'T1027', 'T1086']"
1291,45d804f35266b26bf63e3d616715fc593931e33aa07feba5ad6875609692efa2,APT10,China,"['T1071', 'T1027', 'T1086', 'T1059']"
1292,1acd0212ee970abfea717c2eac9a73613787f86dab42298f1d74a06f79554f0f,APT10,China,"['T1027', 'T1059', 'T1086']"
1294,ddeeedc8ab9ab3b90c2e36340d4674fda3b458c0afd7514735b2857f26b14c6d,APT10,China,"['T1086', 'T1059', 'T1071']"
1295,a4ddd6bf7d4095d5f3f8053db5dcdf7637badc02ae55688a29f541154b6d6ee6,APT10,China,"['T1059', 'T1086', 'T1027', 'T1071']"
1296,f251485a62e104dfd8629dc4d2dfd572ebd0ab554602d682a28682876a47e773,APT10,China,"['T1086', 'T1059', 'T1071']"
1297,c21eaadf9ffc62ca4673e27e06c16447f103c0cf7acd8db6ac5c8bd17805e39d,APT10,China,"['T1071', 'T1027', 'T1059']"
1298,d91807db680531bc9f41c4d56229558f39f04c0adef4448be9d5b4691eb919e8,APT10,China,"['T1086', 'T1059', 'T1027', 'T1071']"
1299,97187a61b57d238bc7fd0092d570c5ab0cfcc132cf3b0969e2f6e4190b1fa942,APT10,China,"['T1086', 'T1071', 'T1027']"
1300,fdb29bbc9b3257038bbb10f10140f5137e67cab3d38cf4afb60ffae54b60ab2e,APT10,China,"['T1086', 'T1071', 'T1059', 'T1027']"
1302,2f709387da1d68ebf7d8a7e93484dc8dd0a7e4ba8b15a52404eacf4eeaad04ce,APT10,China,"['T1059', 'T1086', 'T1027']"
1303,cede6f5a00830c6cd7bc2352fea9b3bdcc00488edc4d11018a8f3a41035fe52d,APT10,China,"['T1059', 'T1086', 'T1071', 'T1027']"
1304,db28df72ac3a076cc80eae301c4a1bcb1feab27331f33c928a99879f8290bcb3,APT10,China,"['T1027', 'T1059', 'T1086', 'T1071']"
1305,773b176b3a68c3d21fae907af8fba7908b55726bd591c5335c8c0bc9de179b76,APT10,China,"['T1086', 'T1071', 'T1059', 'T1027']"
1306,098e5a0b744dadbe54a2abeaa1014b3386a9e2cdd845df329d5cb8664f60711b,APT10,China,"['T1059', 'T1071', 'T1027']"
1307,3f17aadb4a41292e7b208a467f3a8be3e2a88d77a23cba54092673dfd3dff155,APT10,China,"['T1059', 'T1086', 'T1027']"
1462,82fc44696d1c5ddfdd5338fcafb6a9dcf7a0796235cd58184d05a2f388ed7e9e,APT28,Russia,"['T1027', 'T1082', 'T1059', 'T1105', 'T1055', 'T1071']"
1463,8c47961181d9929333628af20bdd750021e925f40065374e6b876e3b8afbba57,APT28,Russia,"['T1027', 'T1071', 'T1105', 'T1082', 'T1059']"
1464,58b223f74992f371cab8f1df7c03b9b66f2ea9e3c9e22122898a9be62a05c0b4,APT28,Russia,"['T1059', 'T1055', 'T1082', 'T1071', 'T1105']"
1465,e5d5a6fa74c229d81cb64781556b61ed0148c50c089ea638e7761bf97fe46d40,APT28,Russia,"['T1071', 'T1059', 'T1082']"
1467,8646a5330f516adce0c05ad019cf041cf79c1ca069048c3f8db94dcbdb00c408,APT28,Russia,"['T1105', 'T1082', 'T1059', 'T1055', 'T1027']"
1469,91acb0d56771af0196e34ac95194b3d0bf3200bc5f6208caf3a91286958876f9,APT28,Russia,"['T1105', 'T1027', 'T1082']"
1470,11fab8361a942e46375bd5ac259146fda20608594e265bcc1d3c011ab4c17226,APT28,Russia,"['T1082', 'T1055', 'T1027', 'T1071', 'T1105']"
1474,2e75deac828111d224c2e6f08662a25e6ccf1c2b7aa938d8d35ae08560ae278a,APT28,Russia,"['T1027', 'T1055', 'T1082', 'T1059', 'T1105', 'T1071']"
1476,588428bc9e00c26057af8ed6894255ca4b59a8a9b7ebb3d09c9406ff736c9454,APT28,Russia,"['T1027', 'T1055', 'T1105']"
1477,c3b2c7bbd2aa1e3100b9382ed78dfa0041af764e0e02013acdf282410b302ead,APT28,Russia,"['T1105', 'T1059', 'T1071']"
1478,c7661b27a06a3a8c471fbb060ab8cab25fa9546e0a4c5c1101fe8098b2ad11e9,APT28,Russia,"['T1059', 'T1027', 'T1055', 'T1071', 'T1105']"
1480,a4a455db9f297e2b9fe99d63c9d31e827efb2cda65be445625fa64f4fce7f797,APT28,Russia,"['T1027', 'T1105', 'T1059']"
1481,5ca7f15275bf8a8109cd61d90f91bfef776b760d5b3292afd23900b9256145e5,APT28,Russia,"['T1027', 'T1055', 'T1071']"
1482,1140c624fbfe28b9ef19fef2e9aa251adfbe8c157820d5f0356d88b4d80c2c88,APT28,Russia,"['T1071', 'T1059', 'T1055', 'T1105', 'T1082']"
1483,1d48aa232e6535fd9344f0f0b1741dbef2bdbc137a06fe5f2caa15ed36811c70,APT28,Russia,"['T1059', 'T1055', 'T1082', 'T1027', 'T1071', 'T1105']"
1484,e2a850aeffc9a466c77ca3e39fd3ee4f74d593583666aea5b014aa6c50ca7af8,APT28,Russia,"['T1105', 'T1082', 'T1071', 'T1055', 'T1027']"
1485,35a4ba765653f05de95f51cd2cc2898dafdb2a82d750f51dd892c160eaf7fcd9,APT28,Russia,"['T1071', 'T1105', 'T1027', 'T1059', 'T1055']"
1486,759fb4c0091a78c5ee035715afe3084686a8493f39014aea72dae36869de9ff6,APT28,Russia,"['T1055', 'T1059', 'T1027', 'T1082']"
1487,3ac11a74275725a22c233cd974229d2b167c336da667410f7262b4926dabd31b,APT28,Russia,"['T1071', 'T1082', 'T1105', 'T1027']"
1489,f205dd58e55d8eee210be0694cfe024ddccc81b1af2deab30f9bdf11dde2bf3f,APT28,Russia,"['T1055', 'T1105', 'T1027']"
1490,73ea2ccec2cbf22d524f55b101d324d89077e5718922c6734fef95787121ff22,APT28,Russia,"['T1105', 'T1071', 'T1082', 'T1059', 'T1055', 'T1027']"
1491,b3d6d931a4d27904abdfa81300724ae83069495cf49d1992507522a5aa0bafba,APT28,Russia,"['T1082', 'T1055', 'T1059', 'T1071', 'T1027']"
1492,f6ad201d65b349b022f2ce4e4d436828b72eaa8c299e9924e51ee72f7c3257c0,APT28,Russia,"['T1059', 'T1027', 'T1105', 'T1055']"
1493,5809076ea5d97facb9cffabd2b44ea4f8de1af8a0c2c2df3807cb3a82ef99508,APT28,Russia,"['T1082', 'T1105', 'T1055']"
1494,137185866649888b7b5b6554d6d5789f7b510acd7aff3070ac55e2250eb88dab,APT28,Russia,"['T1059', 'T1071', 'T1055', 'T1105']"
1498,cfc2c20a9da5ecd72591c461b36da6558395ad4029d6aa9d96948502995b4559,APT28,Russia,"['T1059', 'T1071', 'T1082', 'T1055']"
1499,ba870596bc3a1808d547607d2477678a6f5751b270ae1b93d0d1de29377d5958,APT28,Russia,"['T1059', 'T1082', 'T1027']"
1500,dc2c3314ef4e6186b519af29a246679caa522acd0c44766ecb9df4d2d5f3995b,APT28,Russia,"['T1027', 'T1071', 'T1105', 'T1055']"
1501,6d5715c710a7bacfca5b3315e9bac4e934ab998d4451965f50bce917b13cbbbf,APT28,Russia,"['T1055', 'T1082', 'T1105']"
1502,1579c7a1e42f9e1857a4d1ac966a195a010e1f3d714d68c598a64d1c83aa36e4,APT28,Russia,"['T1059', 'T1082', 'T1027']"
1503,1f81609d9bbdc7f1d2c8846dcfc4292b3e2642301d9c59130f58e21abb0001be,APT28,Russia,"['T1027', 'T1059', 'T1105', 'T1055', 'T1071', 'T1082']"
1504,885c697b7b1cf2c8c5e0b1a6303d544e220472844af3f944e98b224106d3f6a9,APT28,Russia,"['T1027', 'T1055', 'T1071']"
1505,7698f7b4698a2cf0103822e4ba8501a1c692ac9866ac08cb6d8576e9745dc04d,APT28,Russia,"['T1071', 'T1059', 'T1082', 'T1105', 'T1027', 'T1055']"
1506,8075a549c01eabe9240379ba8b02603c56a4073417d98a6d35d50e065115e216,APT28,Russia,"['T1027', 'T1082', 'T1105', 'T1055', 'T1071']"
1507,7c25a5cd3684c470066291e4dec7d706270a5392bc4f907d50b6a34ecb793f5b,APT28,Russia,"['T1059', 'T1055', 'T1027', 'T1105']"
1508,ffd5bd7548ab35c97841c31cf83ad2ea5ec02c741560317fc9602a49ce36a763,APT28,Russia,"['T1071', 'T1082', 'T1055', 'T1059', 'T1105']"
1509,e447237ad90a895e09d9b27080033f0fdf9619b5846cb96e8950196586f9362b,APT28,Russia,"['T1071', 'T1027', 'T1082', 'T1059', 'T1105']"
1511,af9c1b97e03c0e89c5b09d6a7bd0ba7eb58a0e35908f5675f7889c0a8273ec81,APT28,Russia,"['T1071', 'T1105', 'T1082']"
1512,cc68ed96ef3a67b156565acbea2db8ed911b2b31132032f3ef37413f8e2772c5,APT28,Russia,"['T1105', 'T1055', 'T1082', 'T1027', 'T1071', 'T1059']"
1513,2477043e41fd155ae8f60137255923ecb79c2d16527f52f6d1782dae130dbcbc,APT28,Russia,"['T1105', 'T1055', 'T1027']"
1514,1feb41c4a64a7588d1e8e02497627654e9d031e7020d010541d8a8626447dbe9,APT28,Russia,"['T1105', 'T1059', 'T1071']"
1515,7313eaf95a8a8b4c206b9afe306e7c0675a21999921a71a5a16456894571d21d,APT28,Russia,"['T1055', 'T1027', 'T1082', 'T1059', 'T1105']"
1516,5ab8ef93fdeaac9af258845ab52c24d31140c8fffc5fdcf465529c8e00c508ac,APT28,Russia,"['T1105', 'T1055', 'T1059', 'T1071']"
1517,31a0906b0d8b07167129e134009dc307c2d92522da5709e52b67d3c5a70adf93,APT28,Russia,"['T1105', 'T1027', 'T1055', 'T1059', 'T1071', 'T1082']"
1518,55038c4326964f480fd2160b6b2a7aff9e980270d7765418937b3daeb4e82814,APT28,Russia,"['T1082', 'T1105', 'T1027']"
1519,ce554d57333bdbccebb5e2e8d16a304947981e48ea2a5cc3d5f4ced7c1f56df3,APT28,Russia,"['T1071', 'T1055', 'T1105', 'T1059']"
1520,11097a7a3336e0ab124fa921b94e3d51c4e9e4424e140e96127bfcf1c10ef110,APT28,Russia,"['T1059', 'T1082', 'T1055', 'T1071', 'T1105', 'T1027']"
1521,b3d624c4287795a7fbddd617f57705153d30f5f4c4d2d1fec349ac2812c3a8a0,APT28,Russia,"['T1059', 'T1105', 'T1027', 'T1082', 'T1071', 'T1055']"
1522,77166146463b9124e075f3a7925075f969974e32746c78d022ba99f578b9f0bb,APT28,Russia,"['T1059', 'T1082', 'T1027', 'T1105', 'T1055']"
1523,1b3dd8aaafd750aa85185dc52672b26d67d662796847d7cbb01a35b565e74d35,APT28,Russia,"['T1055', 'T1105', 'T1059']"
1524,966660738c9e3ec103c2f8fe361c8ac20647cacaa5153197fa1917e9da99082e,APT28,Russia,"['T1082', 'T1071', 'T1059', 'T1027', 'T1105']"
1525,684f4b9ea61e14a15e82cac25076c5afe2d30e3dad7ce0b1b375b24d81135c37,APT28,Russia,"['T1027', 'T1082', 'T1071', 'T1105', 'T1055']"
1526,81f0f5fcb3cb8a63e8a3713b4107b89d888cb722cb6c7586c7fcdb45f5310174,APT28,Russia,"['T1027', 'T1055', 'T1105', 'T1059', 'T1071']"
1527,74bdd9c250b0f4f27c0ecfeca967f53b35265c785d67406cc5e981a807d741bd,APT28,Russia,"['T1105', 'T1082', 'T1027', 'T1059', 'T1055', 'T1071']"
1528,4536650c9c5e5e1bb57d9bedf7f9a543d6f09addf857f0d802fb64e437b6844a,APT28,Russia,"['T1027', 'T1055', 'T1105']"
1529,b0f1f553a847f3244f434541edbf26904e2de18cca8db8f861ea33bb70942b61,APT28,Russia,"['T1082', 'T1055', 'T1059', 'T1027']"
1530,9392776d6d8e697468ab671b43dce2b7baf97057b53bd3517ecd77a081eff67d,APT28,Russia,"['T1105', 'T1059', 'T1027', 'T1071']"
1531,0cccb9d951ba888c0c37bb0977fbb3682c09f9df1b537eede5a1601e744a01ad,APT28,Russia,"['T1027', 'T1059', 'T1105', 'T1082', 'T1055']"
1532,cb630234494f2424d8e158c6471f0b6d0643abbdf2f3e378bc2f68c9e7bca9eb,APT28,Russia,"['T1027', 'T1082', 'T1059', 'T1055', 'T1105']"
1533,e8ac9acc6fa3283276bbb77cff2b54d963066659b65e48cd8803a2007839af25,APT28,Russia,"['T1082', 'T1059', 'T1055']"
1534,342e1f591ab45fcca6cee7f5da118a99dce463e222c03511c3f1288ac2cf82c8,APT28,Russia,"['T1071', 'T1082', 'T1027', 'T1055', 'T1105', 'T1059']"
1535,d5debe5d88e76a409b9bc3f69a02a7497d333934d66f6aaa30eb22e45b81a9ab,APT28,Russia,"['T1055', 'T1071', 'T1059', 'T1027', 'T1082']"
1536,e8d3f1e4e0d7c19e195d92be5cb6b3617a0496554c892e93b66a75c411745c05,APT28,Russia,"['T1071', 'T1059', 'T1055', 'T1027']"
1537,8fc4fe966ef4e7ecf635283a6fa6bacd8586ee8f0d4d39c6faffd49d60b01cb9,APT28,Russia,"['T1105', 'T1082', 'T1059']"
1538,7dd063acdfb00509b3b06718b39ae53e2ff2fc080094145ce138abb1f2253de4,APT28,Russia,"['T1105', 'T1027', 'T1071']"
1539,461f5340f9ea47344f86bb7302fbaaa0567605134ec880eef34fa9b40926eb70,APT28,Russia,"['T1082', 'T1059', 'T1055', 'T1027']"
1540,992caa9e8de503fb304f97d1ab0b92202d2efb0d1353d19ce7bec512faf76491,APT28,Russia,"['T1082', 'T1059', 'T1071', 'T1105', 'T1055', 'T1027']"
1541,adf344f12633ab0738d25e38f40c6adc9199467838ec14428413b1264b1bf540,APT28,Russia,"['T1059', 'T1082', 'T1105', 'T1055']"
1542,91f750f422fd3ff361fabca02901830ef3f6e5829f6e8db9c1f518a1a3cac08c,APT28,Russia,"['T1071', 'T1055', 'T1105', 'T1082']"
1543,9b8495ff1d023e3ae7aed799f02d9cf24422a38dfb9ed37c0bdc65da55b4ee42,APT28,Russia,"['T1105', 'T1027', 'T1059', 'T1071', 'T1055']"
1544,566ab945f61be016bfd9e83cc1b64f783b9b8deb891e6d504d3442bc8281b092,APT28,Russia,"['T1027', 'T1059', 'T1105', 'T1055', 'T1082', 'T1071']"
1545,730a0e3daf0b54f065bdd2ca427fbe10e8d4e28646a5dc40cbcfb15e1702ed9a,APT28,Russia,"['T1082', 'T1055', 'T1071', 'T1059', 'T1105']"
1546,e83e2185f9e1a5dbc550914dcbc7a4d0f8b30a577ddb4cd8a0f36ac024a68aa0,APT28,Russia,"['T1027', 'T1082', 'T1105']"
1547,5130f600cd9a9cdc82d4bad938b20cbd2f699aadb76e7f3f1a93602330d9997d,APT28,Russia,"['T1071', 'T1059', 'T1105']"
1548,7c4101caf833aa9025fec4f04a637c049c929459ad3e4023ba27ac72bde7638d,APT28,Russia,"['T1071', 'T1082', 'T1105', 'T1059', 'T1027', 'T1055']"
1549,9a527274f99865a7d70487fe22e62f692f8b239d6cb80816b919734c7c741584,APT28,Russia,"['T1071', 'T1105', 'T1027', 'T1082', 'T1059']"
1550,84ad945d1ab58591efb21b863320f533c53b2398a1bc690d221e1c1c77fa27ff,APT28,Russia,"['T1071', 'T1082', 'T1105', 'T1059', 'T1027']"
1551,3d13f2e5b241168005425b15410556bcf26d04078da6b2ef42bc0c2be7654bf8,APT28,Russia,"['T1027', 'T1059', 'T1055']"
1552,d4525abc9dd2b7ab7f0c22e58a0117980039afdf15bed04bb0c637cd41fbfb9d,APT28,Russia,"['T1055', 'T1071', 'T1027', 'T1105', 'T1059']"
1553,0ac7b666814fd016b3d21d7812f4a272104511f90ca666fa13e9fb6cefa603c7,APT28,Russia,"['T1055', 'T1071', 'T1082', 'T1105', 'T1059', 'T1027']"
1554,8325cd6e26fb39cf7a08787e771a6cf708e0b45350d1ea239982af06db90804f,APT28,Russia,"['T1059', 'T1071', 'T1082', 'T1105', 'T1055']"
1555,bf28267386a010197a50b65f24e815aa527f2adbc53c609d2b2a4f999a639413,APT28,Russia,"['T1071', 'T1027', 'T1055']"
1556,638e7ca68643d4b01432f0ecaaa0495b805cc3cccc17a753b0fa511d94a22bdd,APT28,Russia,"['T1027', 'T1082', 'T1059', 'T1055']"
1557,eae782130b06d95f3373ff7d5c0977a8019960bdf80614c1aa7e324dc350428a,APT28,Russia,"['T1082', 'T1071', 'T1027']"
1558,500fa112a204b6abb365101013a17749ce83403c30cd37f7c6f94e693c2d492f,APT28,Russia,"['T1055', 'T1105', 'T1082', 'T1071']"
1559,261b0a5912965ea95b8ae02aae1e761a61f9ad3a9fb85ef781e62013d6a21368,APT28,Russia,"['T1059', 'T1071', 'T1055']"
